,chan1
0,-0.1177188745
1,-0.1290187754
2,-0.1414260319
3,-0.1524507294
4,-0.1620184961
5,-0.1694869672
6,-0.1741364443
7,-0.1762113025
8,-0.178431532
9,-0.1802334188
10,-0.1804725673
11,-0.1834995085
12,-0.1839051049
13,-0.1841151325
14,-0.1879164392
15,-0.1914521164
16,-0.1940045801
17,-0.1969527773
18,-0.2007102264
19,-0.2021500234
20,-0.2076962453
21,-0.2187934702
22,-0.231645262
23,-0.2423375064
24,-0.2462812177
25,-0.249948267
26,-0.2532995346
27,-0.252579137
28,-0.2501223177
29,-0.2539437276
30,-0.2530758644
31,-0.2514331253
32,-0.2545736344
33,-0.2575893699
34,-0.2660151654
35,-0.2726093827
36,-0.2824099478
37,-0.2938109748
38,-0.3031219522
39,-0.3178572579
40,-0.3344181711
41,-0.3543335836
42,-0.369489577
43,-0.3807431886
44,-0.3908650224
45,-0.3980372366
46,-0.4056897529
47,-0.4093435974
48,-0.410260807
49,-0.4083110522
50,-0.4070573657
51,-0.4054612482
52,-0.4083277425
53,-0.4137947907
54,-0.4206477198
55,-0.4361793487
56,-0.4563629087
57,-0.4810423704
58,-0.5100032172
59,-0.5396987824
60,-0.5738086961
61,-0.5972038811
62,-0.6155293166
63,-0.6267440866
64,-0.6354406691
65,-0.6425124456
66,-0.6462120273
67,-0.6525326437
68,-0.6599574811
69,-0.6700462901
70,-0.6740428546
71,-0.6756499506
72,-0.6837929185
73,-0.691604903
74,-0.7028852064
75,-0.7193550821
76,-0.7369089535
77,-0.763617019
78,-0.7992482981
79,-0.8388814355
80,-0.8747502072
81,-0.9063654629
82,-0.9277013789
83,-0.9359705361
84,-0.9482138423
85,-0.9651223707
86,-0.9864360553
87,-1.007518295
88,-1.038215421
89,-1.065518889
90,-1.094054129
91,-1.116259085
92,-1.134971317
93,-1.148745832
94,-1.187562706
95,-1.239021622
96,-1.30908479
97,-1.397371568
98,-1.504312383
99,-1.621397886
100,-1.743439206
101,-1.851570878
102,-1.940276232
103,-2.031628761
104,-2.13306375
105,-2.233333819
106,-2.331030918
107,-2.429450889
108,-2.543086116
109,-2.66573651
110,-2.801656457
111,-2.939265629
112,-3.089466919
113,-3.266720619
114,-3.459814335
115,-3.675588688
116,-3.917480187
117,-4.195093575
118,-4.514113604
119,-4.865008147
120,-5.232955178
121,-5.581754922
122,-5.94912876
123,-6.36275656
124,-6.797976265
125,-7.241881048
126,-7.700522909
127,-8.201809068
128,-8.719737036
129,-9.212997133
130,-9.66359627
131,-10.03664769
132,-10.35847429
133,-10.61971154
134,-10.81133277
135,-10.98032772
136,-11.17217389
137,-11.36173264
138,-11.49109246
139,-11.55241126
140,-11.54731456
141,-11.42650171
142,-11.19644983
143,-10.90470201
144,-10.54517627
145,-10.15062415
146,-9.754920029
147,-9.371983268
148,-9.009303629
149,-8.658121438
150,-8.309565339
151,-7.946050838
152,-7.576991815
153,-7.208260736
154,-6.847470901
155,-6.510985643
156,-6.205453126
157,-5.920551342
158,-5.644741145
159,-5.385648362
160,-5.157987311
161,-4.928312567
162,-4.698295019
163,-4.473476784
164,-4.245539518
165,-4.010988594
166,-3.789250358
167,-3.594004219
168,-3.426423789
169,-3.284967329
170,-3.148302613
171,-3.013025248
172,-2.885543459
173,-2.776486033
174,-2.681019549
175,-2.593259396
176,-2.510537918
177,-2.428692041
178,-2.349909738
179,-2.28496707
180,-2.227470995
181,-2.161449705
182,-2.089116738
183,-2.021068892
184,-1.953801213
185,-1.886743675
186,-1.816721308
187,-1.749091988
188,-1.685784729
189,-1.626042583
190,-1.57480265
191,-1.533088998
192,-1.517934542
193,-1.491841638
194,-1.469646101
195,-1.444185242
196,-1.420215992
197,-1.393435362
198,-1.36484077
199,-1.339601665
200,-1.316343332
